HEADER_TIME_STAMP,X_ACCELERATION_METERS_PER_SECOND_SQUARED,Y_ACCELERATION_METERS_PER_SECOND_SQUARED,Z_ACCELERATION_METERS_PER_SECOND_SQUARED
2018-08-31 20:23:29.988,0.167,1.026,-0.091
2018-08-31 20:23:30.000,0.167,1.032,-0.091
2018-08-31 20:23:30.013,0.17,1.032,-0.091
2018-08-31 20:23:30.025,0.17,1.035,-0.091
2018-08-31 20:23:30.038,0.167,1.026,-0.091
2018-08-31 20:23:30.050,0.17,1.032,-0.094
2018-08-31 20:23:30.063,0.167,1.032,-0.094
2018-08-31 20:23:30.075,0.17,1.032,-0.091
2018-08-31 20:23:30.088,0.167,1.032,-0.091
2018-08-31 20:23:30.100,0.17,1.032,-0.091
2018-08-31 20:23:30.113,0.167,1.035,-0.091
2018-08-31 20:23:30.125,0.167,1.026,-0.094
2018-08-31 20:23:30.138,0.167,1.026,-0.094
2018-08-31 20:23:30.150,0.17,1.023,-0.091
2018-08-31 20:23:30.163,0.167,1.035,-0.091
2018-08-31 20:23:30.175,0.17,1.032,-0.091
2018-08-31 20:23:30.188,0.167,1.032,-0.088
2018-08-31 20:23:30.200,0.167,1.026,-0.091
2018-08-31 20:23:30.213,0.167,1.026,-0.094
2018-08-31 20:23:30.225,0.167,1.026,-0.091
2018-08-31 20:23:30.238,0.167,1.032,-0.091
2018-08-31 20:23:30.250,0.17,1.026,-0.091
2018-08-31 20:23:30.263,0.176,1.032,-0.091
2018-08-31 20:23:30.275,0.167,1.026,-0.094
2018-08-31 20:23:30.288,0.167,1.026,-0.094
2018-08-31 20:23:30.300,0.17,1.032,-0.091
2018-08-31 20:23:30.313,0.167,1.032,-0.091
2018-08-31 20:23:30.325,0.164,1.032,-0.094
2018-08-31 20:23:30.338,0.167,1.032,-0.091
2018-08-31 20:23:30.350,0.17,1.032,-0.094
2018-08-31 20:23:30.363,0.167,1.026,-0.088
2018-08-31 20:23:30.375,0.167,1.035,-0.094
2018-08-31 20:23:30.388,0.17,1.035,-0.091
2018-08-31 20:23:30.400,0.167,1.035,-0.091
2018-08-31 20:23:30.413,0.17,1.032,-0.091
2018-08-31 20:23:30.425,0.167,1.032,-0.094
2018-08-31 20:23:30.438,0.17,1.026,-0.094
2018-08-31 20:23:30.450,0.167,1.032,-0.091
2018-08-31 20:23:30.463,0.167,1.026,-0.091
2018-08-31 20:23:30.475,0.17,1.032,-0.091
2018-08-31 20:23:30.488,0.17,1.026,-0.094
2018-08-31 20:23:30.500,0.17,1.032,-0.094
2018-08-31 20:23:30.513,0.17,1.026,-0.091
2018-08-31 20:23:30.525,0.17,1.032,-0.094
2018-08-31 20:23:30.538,0.17,1.032,-0.091
2018-08-31 20:23:30.550,0.17,1.032,-0.091
2018-08-31 20:23:30.563,0.17,1.032,-0.091
2018-08-31 20:23:30.575,0.164,1.032,-0.094
2018-08-31 20:23:30.588,0.167,1.032,-0.091
2018-08-31 20:23:30.600,0.164,1.032,-0.091
2018-08-31 20:23:30.613,0.17,1.026,-0.094
2018-08-31 20:23:30.625,0.167,1.032,-0.091
2018-08-31 20:23:30.638,0.167,1.032,-0.094
2018-08-31 20:23:30.650,0.167,1.032,-0.091
2018-08-31 20:23:30.663,0.17,1.032,-0.091
2018-08-31 20:23:30.675,0.17,1.026,-0.094
2018-08-31 20:23:30.688,0.17,1.032,-0.094
2018-08-31 20:23:30.700,0.164,1.032,-0.091
2018-08-31 20:23:30.713,0.167,1.032,-0.094
2018-08-31 20:23:30.725,0.17,1.035,-0.094
2018-08-31 20:23:30.738,0.17,1.026,-0.091
2018-08-31 20:23:30.750,0.167,1.032,-0.094
2018-08-31 20:23:30.763,0.167,1.035,-0.094
2018-08-31 20:23:30.775,0.17,1.032,-0.091
2018-08-31 20:23:30.788,0.17,1.032,-0.091
2018-08-31 20:23:30.800,0.17,1.032,-0.094
2018-08-31 20:23:30.813,0.17,1.032,-0.091
2018-08-31 20:23:30.825,0.17,1.026,-0.091
2018-08-31 20:23:30.838,0.167,1.035,-0.094
2018-08-31 20:23:30.850,0.17,1.032,-0.094
2018-08-31 20:23:30.863,0.17,1.032,-0.091
2018-08-31 20:23:30.875,0.167,1.032,-0.091
2018-08-31 20:23:30.888,0.17,1.032,-0.091
2018-08-31 20:23:30.900,0.167,1.032,-0.091
2018-08-31 20:23:30.913,0.167,1.032,-0.091
2018-08-31 20:23:30.925,0.17,1.032,-0.091
2018-08-31 20:23:30.938,0.17,1.026,-0.1
2018-08-31 20:23:30.950,0.167,1.035,-0.091
2018-08-31 20:23:30.963,0.167,1.032,-0.091
2018-08-31 20:23:30.975,0.17,1.032,-0.091
2018-08-31 20:23:30.988,0.17,1.032,-0.094
2018-08-31 20:23:31.000,0.167,1.032,-0.094
2018-08-31 20:23:31.013,0.167,1.035,-0.091
2018-08-31 20:23:31.025,0.167,1.032,-0.091
2018-08-31 20:23:31.038,0.167,1.026,-0.094
2018-08-31 20:23:31.050,0.167,1.032,-0.091
2018-08-31 20:23:31.063,0.167,1.032,-0.091
2018-08-31 20:23:31.075,0.17,1.026,-0.091
2018-08-31 20:23:31.088,0.17,1.026,-0.094
2018-08-31 20:23:31.100,0.167,1.032,-0.091
2018-08-31 20:23:31.113,0.167,1.032,-0.091
2018-08-31 20:23:31.125,0.17,1.026,-0.091
2018-08-31 20:23:31.138,0.17,1.032,-0.091
2018-08-31 20:23:31.150,0.17,1.026,-0.091
2018-08-31 20:23:31.163,0.167,1.026,-0.091
2018-08-31 20:23:31.175,0.167,1.026,-0.094
2018-08-31 20:23:31.188,0.17,1.026,-0.091
2018-08-31 20:23:31.200,0.167,1.032,-0.094
2018-08-31 20:23:31.213,0.167,1.026,-0.091
2018-08-31 20:23:31.225,0.167,1.032,-0.091
2018-08-31 20:23:31.238,0.167,1.032,-0.091
2018-08-31 20:23:31.250,0.167,1.032,-0.091
2018-08-31 20:23:31.263,0.164,1.032,-0.091
2018-08-31 20:23:31.275,0.167,1.026,-0.094
2018-08-31 20:23:31.288,0.167,1.032,-0.091
2018-08-31 20:23:31.300,0.167,1.035,-0.088
2018-08-31 20:23:31.313,0.167,1.026,-0.091
2018-08-31 20:23:31.325,0.17,1.032,-0.094
2018-08-31 20:23:31.338,0.167,1.026,-0.094
2018-08-31 20:23:31.350,0.17,1.026,-0.094
2018-08-31 20:23:31.363,0.167,1.035,-0.094
2018-08-31 20:23:31.375,0.164,1.032,-0.091
2018-08-31 20:23:31.388,0.167,1.032,-0.094
2018-08-31 20:23:31.400,0.164,1.035,-0.091
2018-08-31 20:23:31.413,0.167,1.032,-0.094
2018-08-31 20:23:31.425,0.17,1.032,-0.091
2018-08-31 20:23:31.438,0.17,1.032,-0.091
2018-08-31 20:23:31.450,0.17,1.032,-0.094
2018-08-31 20:23:31.463,0.17,1.032,-0.094
2018-08-31 20:23:31.475,0.17,1.032,-0.091
2018-08-31 20:23:31.488,0.17,1.026,-0.091
2018-08-31 20:23:31.500,0.17,1.035,-0.091
2018-08-31 20:23:31.513,0.17,1.032,-0.094
2018-08-31 20:23:31.525,0.167,1.032,-0.091
2018-08-31 20:23:31.538,0.17,1.032,-0.091
2018-08-31 20:23:31.550,0.17,1.026,-0.094
2018-08-31 20:23:31.563,0.17,1.032,-0.094
2018-08-31 20:23:31.575,0.167,1.026,-0.091
2018-08-31 20:23:31.588,0.167,1.026,-0.1
2018-08-31 20:23:31.600,0.167,1.035,-0.094
2018-08-31 20:23:31.613,0.167,1.032,-0.091
2018-08-31 20:23:31.625,0.167,1.032,-0.091
2018-08-31 20:23:31.638,0.17,1.032,-0.094
2018-08-31 20:23:31.650,0.17,1.032,-0.094
2018-08-31 20:23:31.663,0.17,1.032,-0.094
2018-08-31 20:23:31.675,0.17,1.026,-0.094
2018-08-31 20:23:31.688,0.167,1.032,-0.091
2018-08-31 20:23:31.700,0.167,1.032,-0.091
2018-08-31 20:23:31.713,0.167,1.032,-0.094
2018-08-31 20:23:31.725,0.167,1.026,-0.091
2018-08-31 20:23:31.738,0.17,1.032,-0.094
2018-08-31 20:23:31.750,0.17,1.032,-0.091
2018-08-31 20:23:31.763,0.167,1.035,-0.091
2018-08-31 20:23:31.775,0.167,1.035,-0.094
2018-08-31 20:23:31.788,0.167,1.026,-0.091
2018-08-31 20:23:31.800,0.176,1.035,-0.094
2018-08-31 20:23:31.813,0.167,1.032,-0.094
2018-08-31 20:23:31.825,0.167,1.032,-0.091
2018-08-31 20:23:31.838,0.167,1.032,-0.091
2018-08-31 20:23:31.850,0.17,1.026,-0.091
2018-08-31 20:23:31.863,0.17,1.035,-0.091
2018-08-31 20:23:31.875,0.17,1.035,-0.094
2018-08-31 20:23:31.888,0.167,1.035,-0.094
2018-08-31 20:23:31.900,0.17,1.032,-0.091
2018-08-31 20:23:31.913,0.167,1.026,-0.091
2018-08-31 20:23:31.925,0.17,1.026,-0.091
2018-08-31 20:23:31.938,0.167,1.032,-0.091
