HEADER_TIME_STAMP,X,Y,Z
2018-06-14 12:13:24.711,0.680,1.062,0.856
2018-06-14 12:13:24.732,0.492,1.179,0.848
2018-06-14 12:13:24.752,0.070,1.351,1.074
2018-06-14 12:13:24.772,-0.266,1.307,1.108
2018-06-14 12:13:24.791,-0.448,1.166,0.969
2018-06-14 12:13:24.812,-0.899,1.061,0.940
2018-06-14 12:13:24.832,-0.958,0.859,0.687
2018-06-14 12:13:24.851,-1.345,0.613,0.804
2018-06-14 12:13:24.872,-1.273,0.388,0.768
2018-06-14 12:13:24.891,-1.371,-0.067,1.033
2018-06-14 12:13:24.911,-1.251,-0.334,0.785
2018-06-14 12:13:24.932,-1.147,-0.543,1.078
2018-06-14 12:13:24.951,-1.065,-0.821,1.014
2018-06-14 12:13:24.971,-0.594,-1.043,1.058
2018-06-14 12:13:24.992,-0.307,-1.163,1.156
2018-06-14 12:13:25.011,0.046,-1.230,1.162
2018-06-14 12:13:25.032,0.381,-1.222,1.200
2018-06-14 12:13:25.052,0.492,-0.917,0.768
2018-06-14 12:13:25.071,0.579,-0.948,0.836
2018-06-14 12:13:25.091,1.028,-0.600,1.264
2018-06-14 12:13:25.112,1.099,-0.374,1.270
2018-06-14 12:13:25.131,1.373,-0.178,1.407
2018-06-14 12:13:25.152,1.286,0.272,1.429
2018-06-14 12:13:25.171,1.096,0.490,1.263
2018-06-14 12:13:25.191,0.801,0.906,0.861
2018-06-14 12:13:25.211,0.659,1.121,0.883
2018-06-14 12:13:25.232,0.381,1.250,0.948
2018-06-14 12:13:25.252,0.066,1.348,0.896
2018-06-14 12:13:25.271,-0.249,1.371,1.021
2018-06-14 12:13:25.292,-0.542,1.215,1.077
2018-06-14 12:13:25.311,-0.847,1.087,1.111
2018-06-14 12:13:25.332,-1.135,0.848,0.884
2018-06-14 12:13:25.352,-1.212,0.676,1.011
2018-06-14 12:13:25.371,-1.238,0.255,0.903
2018-06-14 12:13:25.391,-1.341,-0.028,0.975
2018-06-14 12:13:25.412,-1.267,-0.288,0.872
2018-06-14 12:13:25.432,-1.052,-0.660,0.960
2018-06-14 12:13:25.451,-1.060,-0.895,0.991
2018-06-14 12:13:25.472,-0.738,-1.052,0.865
2018-06-14 12:13:25.491,-0.399,-1.165,0.899
2018-06-14 12:13:25.511,0.052,-1.197,0.927
2018-06-14 12:13:25.532,0.332,-1.097,1.043
2018-06-14 12:13:25.552,0.466,-0.859,0.697
2018-06-14 12:13:25.571,0.730,-0.849,0.842
2018-06-14 12:13:25.592,0.947,-0.610,1.205
2018-06-14 12:13:25.612,1.104,-0.339,1.171
2018-06-14 12:13:25.632,1.170,-0.127,1.135
2018-06-14 12:13:25.652,1.251,0.304,1.290
2018-06-14 12:13:25.671,1.081,0.616,1.189
2018-06-14 12:13:25.691,0.926,0.737,0.927
2018-06-14 12:13:25.711,0.774,1.005,0.923
2018-06-14 12:13:25.731,0.366,1.333,1.107
2018-06-14 12:13:25.752,0.184,1.388,1.119
2018-06-14 12:13:25.771,-0.255,1.373,1.149
2018-06-14 12:13:25.791,-0.451,1.236,1.052
2018-06-14 12:13:25.811,-0.903,1.116,1.134
2018-06-14 12:13:25.831,-1.080,0.881,0.982
2018-06-14 12:13:25.852,-1.239,0.649,1.155
2018-06-14 12:13:25.871,-1.207,0.406,0.905
2018-06-14 12:13:25.892,-1.415,-0.024,1.206
2018-06-14 12:13:25.911,-1.252,-0.285,0.954
2018-06-14 12:13:25.932,-1.180,-0.628,1.104
2018-06-14 12:13:25.951,-1.009,-0.758,1.124
2018-06-14 12:13:25.971,-0.591,-1.105,1.108
2018-06-14 12:13:25.991,-0.341,-1.180,1.125
2018-06-14 12:13:26.011,-0.074,-1.234,1.157
2018-06-14 12:13:26.031,0.336,-1.179,1.227
2018-06-14 12:13:26.051,0.672,-0.827,0.882
2018-06-14 12:13:26.071,0.765,-0.836,0.756
2018-06-14 12:13:26.091,1.161,-0.596,1.244
2018-06-14 12:13:26.112,1.357,-0.105,1.042
2018-06-14 12:13:26.131,1.225,-0.127,1.154
2018-06-14 12:13:26.152,1.149,0.208,1.332
2018-06-14 12:13:26.171,1.036,0.655,1.172
2018-06-14 12:13:26.192,0.943,0.908,0.980
2018-06-14 12:13:26.212,0.737,1.066,0.959
2018-06-14 12:13:26.232,0.426,1.259,1.072
2018-06-14 12:13:26.252,0.136,1.380,1.047
2018-06-14 12:13:26.271,-0.328,1.311,1.022
2018-06-14 12:13:26.291,-0.497,1.226,0.856
2018-06-14 12:13:26.312,-0.895,1.109,0.979
2018-06-14 12:13:26.331,-1.009,0.815,0.838
2018-06-14 12:13:26.352,-1.302,0.670,1.025
2018-06-14 12:13:26.371,-1.238,0.301,0.837
2018-06-14 12:13:26.391,-1.395,-0.071,1.058
2018-06-14 12:13:26.412,-1.301,-0.232,0.816
2018-06-14 12:13:26.431,-1.097,-0.792,1.031
2018-06-14 12:13:26.452,-0.963,-0.890,1.025
2018-06-14 12:13:26.471,-0.661,-1.000,1.038
2018-06-14 12:13:26.492,-0.401,-1.183,1.054
2018-06-14 12:13:26.511,0.065,-1.209,1.066
2018-06-14 12:13:26.532,0.351,-1.148,1.113
2018-06-14 12:13:26.551,0.503,-0.907,0.934
2018-06-14 12:13:26.571,0.655,-0.841,0.762
2018-06-14 12:13:26.592,1.058,-0.661,1.120
2018-06-14 12:13:26.612,1.211,-0.227,1.164
2018-06-14 12:13:26.632,1.164,-0.046,1.054
2018-06-14 12:13:26.652,1.078,0.332,1.310
2018-06-14 12:13:26.672,0.931,0.439,1.252
2018-06-14 12:13:26.692,0.875,0.693,0.890
2018-06-14 12:13:26.712,0.654,1.050,0.906
2018-06-14 12:13:26.732,0.344,1.250,1.101
2018-06-14 12:13:26.752,0.061,1.284,0.919
2018-06-14 12:13:26.771,-0.289,1.321,0.840
2018-06-14 12:13:26.792,-0.536,1.365,0.837
2018-06-14 12:13:26.811,-0.888,1.054,0.988
2018-06-14 12:13:26.832,-1.054,0.918,0.877
2018-06-14 12:13:26.852,-1.274,0.713,1.190
2018-06-14 12:13:26.872,-1.174,0.311,0.814
2018-06-14 12:13:26.891,-1.421,-0.005,1.023
2018-06-14 12:13:26.912,-1.247,-0.450,0.841
2018-06-14 12:13:26.931,-1.097,-0.679,0.884
2018-06-14 12:13:26.951,-0.946,-0.786,1.169
2018-06-14 12:13:26.971,-0.618,-0.996,1.051
2018-06-14 12:13:26.991,-0.448,-1.204,1.203
2018-06-14 12:13:27.012,-0.120,-1.235,1.150
2018-06-14 12:13:27.032,0.149,-1.174,1.166
2018-06-14 12:13:27.052,0.589,-0.888,0.942
2018-06-14 12:13:27.071,0.748,-0.758,0.716
2018-06-14 12:13:27.092,1.042,-0.568,1.248
2018-06-14 12:13:27.111,1.187,-0.305,1.227
2018-06-14 12:13:27.132,1.161,-0.151,1.198
2018-06-14 12:13:27.152,1.101,0.236,1.369
2018-06-14 12:13:27.172,1.001,0.583,1.205
2018-06-14 12:13:27.191,0.811,0.834,0.901
2018-06-14 12:13:27.212,0.655,1.131,1.100
2018-06-14 12:13:27.231,0.371,1.219,1.038
2018-06-14 12:13:27.252,-0.126,1.311,0.851
2018-06-14 12:13:27.271,-0.336,1.316,0.776
2018-06-14 12:13:27.291,-0.516,1.260,0.703
2018-06-14 12:13:27.311,-0.809,1.207,0.894
2018-06-14 12:13:27.331,-0.992,0.751,0.947
2018-06-14 12:13:27.351,-1.181,0.679,0.910
2018-06-14 12:13:27.371,-1.337,0.375,0.989
2018-06-14 12:13:27.392,-1.393,0.017,1.254
2018-06-14 12:13:27.411,-1.255,-0.285,0.803
2018-06-14 12:13:27.432,-1.193,-0.617,1.123
2018-06-14 12:13:27.451,-0.974,-0.938,1.017
2018-06-14 12:13:27.471,-0.684,-1.003,0.967
2018-06-14 12:13:27.491,-0.482,-1.138,1.056
2018-06-14 12:13:27.511,0.090,-1.209,1.002
2018-06-14 12:13:27.531,0.358,-1.171,1.125
2018-06-14 12:13:27.551,0.535,-0.834,0.670
2018-06-14 12:13:27.572,0.803,-0.813,0.845
2018-06-14 12:13:27.592,0.918,-0.638,1.258
2018-06-14 12:13:27.611,1.229,-0.164,1.060
2018-06-14 12:13:27.632,1.310,0.024,1.106
2018-06-14 12:13:27.652,1.235,0.268,1.408
2018-06-14 12:13:27.671,0.981,0.492,1.181
2018-06-14 12:13:27.692,0.873,0.845,0.914
2018-06-14 12:13:27.711,0.630,1.175,1.122
2018-06-14 12:13:27.732,0.346,1.239,1.042
2018-06-14 12:13:27.752,0.033,1.301,0.946
2018-06-14 12:13:27.771,-0.234,1.281,0.898
2018-06-14 12:13:27.792,-0.461,1.284,0.824
2018-06-14 12:13:27.812,-0.813,1.109,1.282
2018-06-14 12:13:27.831,-0.944,0.910,1.126
2018-06-14 12:13:27.852,-1.176,0.759,1.127
2018-06-14 12:13:27.872,-1.256,0.382,1.011
2018-06-14 12:13:27.891,-1.364,-0.044,1.104
2018-06-14 12:13:27.912,-1.253,-0.126,1.191
2018-06-14 12:13:27.932,-1.104,-0.484,1.090
2018-06-14 12:13:27.952,-0.934,-0.786,0.948
2018-06-14 12:13:27.972,-0.744,-0.994,1.096
2018-06-14 12:13:27.991,-0.463,-1.125,1.112
2018-06-14 12:13:28.011,-0.214,-1.230,1.001
2018-06-14 12:13:28.032,0.192,-1.183,1.234
2018-06-14 12:13:28.052,0.540,-0.949,0.636
2018-06-14 12:13:28.072,0.947,-0.892,1.067
2018-06-14 12:13:28.091,1.223,-0.569,1.231
2018-06-14 12:13:28.112,1.216,-0.292,1.123
2018-06-14 12:13:28.131,1.332,-0.246,1.384
2018-06-14 12:13:28.152,1.295,0.305,1.370
2018-06-14 12:13:28.171,1.107,0.554,0.918
2018-06-14 12:13:28.191,0.890,0.840,0.796
2018-06-14 12:13:28.211,0.639,1.122,0.858
2018-06-14 12:13:28.232,0.395,1.230,0.806
2018-06-14 12:13:28.252,0.027,1.336,0.813
2018-06-14 12:13:28.271,-0.245,1.306,0.852
2018-06-14 12:13:28.292,-0.435,1.323,0.919
2018-06-14 12:13:28.311,-0.873,1.082,1.023
2018-06-14 12:13:28.332,-0.916,1.019,1.023
2018-06-14 12:13:28.352,-1.104,0.756,1.333
2018-06-14 12:13:28.372,-1.133,0.331,0.982
2018-06-14 12:13:28.393,-1.405,-0.049,0.776
2018-06-14 12:13:28.412,-1.289,-0.293,0.825
2018-06-14 12:13:28.431,-1.176,-0.659,0.985
2018-06-14 12:13:28.451,-1.111,-0.766,0.924
2018-06-14 12:13:28.471,-0.875,-0.875,1.099
2018-06-14 12:13:28.491,-0.475,-1.190,0.973
2018-06-14 12:13:28.511,0.007,-1.168,0.952
2018-06-14 12:13:28.532,0.322,-1.124,1.109
2018-06-14 12:13:28.552,0.536,-0.991,0.622
2018-06-14 12:13:28.571,0.842,-0.992,1.141
2018-06-14 12:13:28.592,0.948,-0.702,1.233
2018-06-14 12:13:28.611,1.135,-0.354,1.166
2018-06-14 12:13:28.632,1.254,-0.109,1.527
2018-06-14 12:13:28.651,1.145,0.260,1.317
2018-06-14 12:13:28.671,1.119,0.522,0.820
2018-06-14 12:13:28.691,0.859,0.800,0.695
2018-06-14 12:13:28.712,0.670,1.121,0.910
2018-06-14 12:13:28.732,0.476,1.248,0.959
2018-06-14 12:13:28.751,0.087,1.334,0.942
2018-06-14 12:13:28.772,-0.194,1.321,0.971
2018-06-14 12:13:28.791,-0.525,1.212,0.939
2018-06-14 12:13:28.811,-0.824,1.029,0.947
2018-06-14 12:13:28.832,-0.972,0.990,0.761
2018-06-14 12:13:28.852,-1.127,0.655,0.812
2018-06-14 12:13:28.871,-1.225,0.330,0.734
2018-06-14 12:13:28.891,-1.381,-0.186,0.816
2018-06-14 12:13:28.912,-1.185,-0.485,0.606
2018-06-14 12:13:28.932,-1.262,-0.475,1.122
2018-06-14 12:13:28.952,-1.009,-0.613,1.164
2018-06-14 12:13:28.971,-0.646,-1.050,1.150
2018-06-14 12:13:28.992,-0.426,-1.119,1.155
2018-06-14 12:13:29.012,-0.080,-1.236,1.166
2018-06-14 12:13:29.031,0.340,-1.182,1.356
2018-06-14 12:13:29.052,0.569,-1.080,0.702
2018-06-14 12:13:29.071,0.783,-1.022,1.076
2018-06-14 12:13:29.092,0.882,-0.752,1.291
2018-06-14 12:13:29.112,1.138,-0.439,1.230
2018-06-14 12:13:29.132,1.391,-0.181,1.317
2018-06-14 12:13:29.152,1.328,0.239,1.238
2018-06-14 12:13:29.171,1.105,0.548,0.849
2018-06-14 12:13:29.192,0.845,0.928,0.944
2018-06-14 12:13:29.211,0.709,1.185,0.986
2018-06-14 12:13:29.232,0.391,1.299,0.965
2018-06-14 12:13:29.252,0.175,1.390,1.007
2018-06-14 12:13:29.271,-0.149,1.330,1.055
2018-06-14 12:13:29.291,-0.409,1.176,0.885
2018-06-14 12:13:29.312,-0.856,1.159,0.967
2018-06-14 12:13:29.332,-1.025,0.993,0.943
2018-06-14 12:13:29.352,-1.198,0.706,1.133
2018-06-14 12:13:29.371,-1.165,0.390,0.870
2018-06-14 12:13:29.391,-1.339,-0.014,0.959
2018-06-14 12:13:29.412,-1.200,-0.310,0.908
2018-06-14 12:13:29.432,-1.141,-0.599,1.000
2018-06-14 12:13:29.452,-0.915,-0.751,0.919
2018-06-14 12:13:29.472,-0.675,-0.918,1.033
2018-06-14 12:13:29.492,-0.530,-1.209,1.071
2018-06-14 12:13:29.511,-0.079,-1.257,1.030
2018-06-14 12:13:29.532,0.106,-1.231,1.211
2018-06-14 12:13:29.551,0.312,-1.141,0.573
2018-06-14 12:13:29.571,0.723,-1.048,1.011
2018-06-14 12:13:29.591,0.899,-0.664,1.280
2018-06-14 12:13:29.612,1.245,-0.270,1.243
2018-06-14 12:13:29.631,1.224,-0.079,1.396
2018-06-14 12:13:29.652,1.234,0.180,1.007
2018-06-14 12:13:29.671,1.111,0.486,0.656
2018-06-14 12:13:29.691,0.828,0.874,0.796
2018-06-14 12:13:29.712,0.715,1.129,0.940
2018-06-14 12:13:29.732,0.510,1.285,0.985
2018-06-14 12:13:29.752,0.223,1.393,1.062
2018-06-14 12:13:29.772,-0.263,1.331,1.132
2018-06-14 12:13:29.792,-0.531,1.208,0.826
2018-06-14 12:13:29.811,-0.903,1.085,0.946
2018-06-14 12:13:29.832,-1.095,1.062,0.740
2018-06-14 12:13:29.852,-1.283,0.744,1.222
2018-06-14 12:13:29.871,-1.141,0.338,0.942
2018-06-14 12:13:29.891,-1.425,-0.061,1.142
2018-06-14 12:13:29.912,-1.246,-0.238,0.837
2018-06-14 12:13:29.931,-1.234,-0.561,1.170
2018-06-14 12:13:29.952,-0.902,-0.861,0.940
2018-06-14 12:13:29.971,-0.721,-0.982,0.968
2018-06-14 12:13:29.991,-0.403,-1.188,1.069
2018-06-14 12:13:30.011,-0.137,-1.244,0.993
2018-06-14 12:13:30.032,0.298,-1.183,1.216
2018-06-14 12:13:30.052,0.585,-0.894,0.634
2018-06-14 12:13:30.071,0.845,-0.898,1.012
2018-06-14 12:13:30.092,1.088,-0.634,1.139
2018-06-14 12:13:30.111,1.156,-0.200,1.013
2018-06-14 12:13:30.131,1.361,-0.038,1.207
2018-06-14 12:13:30.152,1.272,0.190,1.310
2018-06-14 12:13:30.171,1.098,0.459,0.988
2018-06-14 12:13:30.191,0.975,0.883,1.063
2018-06-14 12:13:30.212,0.794,1.075,1.097
2018-06-14 12:13:30.231,0.520,1.153,0.992
2018-06-14 12:13:30.252,0.128,1.350,1.038
2018-06-14 12:13:30.271,-0.253,1.347,1.098
2018-06-14 12:13:30.291,-0.425,1.186,0.802
2018-06-14 12:13:30.311,-0.931,1.045,0.798
2018-06-14 12:13:30.332,-1.063,0.893,0.624
2018-06-14 12:13:30.352,-1.320,0.714,0.805
2018-06-14 12:13:30.372,-1.298,0.379,0.917
2018-06-14 12:13:30.391,-1.367,-0.007,1.044
2018-06-14 12:13:30.411,-1.228,-0.322,0.837
2018-06-14 12:13:30.432,-1.193,-0.675,0.948
2018-06-14 12:13:30.452,-0.889,-0.817,0.843
2018-06-14 12:13:30.472,-0.620,-0.960,0.893
2018-06-14 12:13:30.491,-0.297,-1.158,1.150
2018-06-14 12:13:30.512,-0.114,-1.213,1.130
2018-06-14 12:13:30.531,0.343,-1.104,1.305
2018-06-14 12:13:30.552,0.580,-0.925,0.605
2018-06-14 12:13:30.572,0.924,-0.926,1.101
2018-06-14 12:13:30.592,1.020,-0.643,1.312
2018-06-14 12:13:30.612,1.223,-0.267,1.175
2018-06-14 12:13:30.631,1.272,-0.116,1.444
2018-06-14 12:13:30.652,1.163,0.226,1.347
2018-06-14 12:13:30.671,1.027,0.463,0.829
2018-06-14 12:13:30.692,0.837,0.842,0.856
2018-06-14 12:13:30.711,0.643,1.079,0.861
2018-06-14 12:13:30.732,0.462,1.128,0.798
2018-06-14 12:13:30.752,0.103,1.290,0.792
2018-06-14 12:13:30.771,-0.276,1.309,0.889
2018-06-14 12:13:30.791,-0.482,1.157,1.103
2018-06-14 12:13:30.811,-0.838,1.083,1.096
2018-06-14 12:13:30.831,-0.843,1.177,0.855
2018-06-14 12:13:30.852,-1.222,0.805,1.307
2018-06-14 12:13:30.871,-1.160,0.419,1.117
2018-06-14 12:13:30.891,-1.493,-0.038,1.242
2018-06-14 12:13:30.911,-1.262,-0.310,0.875
2018-06-14 12:13:30.932,-1.130,-0.659,0.887
2018-06-14 12:13:30.951,-0.907,-0.826,0.818
2018-06-14 12:13:30.971,-0.564,-1.063,0.951
2018-06-14 12:13:30.991,-0.347,-1.150,1.106
2018-06-14 12:13:31.011,-0.195,-1.252,1.076
2018-06-14 12:13:31.031,0.340,-1.237,1.254
