HEADER_TIME_STAMP,X,Y,Z
2018-06-14 12:00:00.007,0.454,0.408,-0.817
2018-06-14 12:00:00.027,0.495,0.389,-0.777
2018-06-14 12:00:00.047,0.531,0.438,-0.773
2018-06-14 12:00:00.067,0.453,0.430,-0.726
2018-06-14 12:00:00.086,0.384,0.376,-0.760
2018-06-14 12:00:00.109,0.459,0.444,-0.719
2018-06-14 12:00:00.127,0.489,0.411,-0.775
2018-06-14 12:00:00.147,0.517,0.440,-0.751
2018-06-14 12:00:00.167,0.429,0.506,-0.681
2018-06-14 12:00:00.187,0.429,0.453,-0.708
2018-06-14 12:00:00.207,0.434,0.320,-0.789
2018-06-14 12:00:00.227,0.493,0.371,-0.761
2018-06-14 12:00:00.247,0.453,0.397,-0.719
2018-06-14 12:00:00.267,0.484,0.406,-0.710
2018-06-14 12:00:00.286,0.529,0.521,-0.626
2018-06-14 12:00:00.307,0.508,0.541,-0.598
2018-06-14 12:00:00.327,0.446,0.453,-0.655
2018-06-14 12:00:00.348,0.437,0.542,-0.602
2018-06-14 12:00:00.367,0.369,0.653,-0.468
2018-06-14 12:00:00.387,0.088,0.787,-0.311
2018-06-14 12:00:00.407,0.315,0.521,-0.312
2018-06-14 12:00:00.427,0.709,0.403,-0.504
2018-06-14 12:00:00.447,0.805,0.386,-0.533
2018-06-14 12:00:00.467,0.874,0.311,-0.551
2018-06-14 12:00:00.489,0.879,0.175,-0.682
2018-06-14 12:00:00.509,0.922,0.203,-0.706
2018-06-14 12:00:00.527,0.972,0.332,-0.581
2018-06-14 12:00:00.547,1.037,0.455,-0.485
2018-06-14 12:00:00.567,0.999,0.381,-0.508
2018-06-14 12:00:00.586,0.949,0.320,-0.573
2018-06-14 12:00:00.606,0.920,0.338,-0.518
2018-06-14 12:00:00.626,0.909,0.253,-0.547
2018-06-14 12:00:00.647,0.853,0.163,-0.646
2018-06-14 12:00:00.667,0.836,0.103,-0.741
2018-06-14 12:00:00.687,0.798,0.096,-0.721
2018-06-14 12:00:00.707,0.750,0.135,-0.728
2018-06-14 12:00:00.727,0.747,0.222,-0.718
2018-06-14 12:00:00.747,0.765,0.292,-0.723
2018-06-14 12:00:00.766,0.814,0.312,-0.689
2018-06-14 12:00:00.787,0.792,0.384,-0.733
2018-06-14 12:00:00.808,0.785,0.436,-0.691
2018-06-14 12:00:00.826,0.761,0.431,-0.668
2018-06-14 12:00:00.847,0.814,0.474,-0.610
2018-06-14 12:00:00.867,0.847,0.549,-0.568
2018-06-14 12:00:00.887,0.747,0.546,-0.514
2018-06-14 12:00:00.907,0.645,0.556,-0.445
2018-06-14 12:00:00.927,0.543,0.573,-0.466
2018-06-14 12:00:00.947,0.560,0.591,-0.374
2018-06-14 12:00:00.968,0.630,0.618,-0.327
2018-06-14 12:00:00.987,0.599,0.650,-0.312
2018-06-14 12:00:01.007,0.607,0.751,-0.221
2018-06-14 12:00:01.027,0.621,0.740,-0.117
2018-06-14 12:00:01.047,0.551,0.807,-0.075
2018-06-14 12:00:01.067,0.514,0.823,-0.076
2018-06-14 12:00:01.087,0.461,0.770,-0.010
2018-06-14 12:00:01.107,0.452,0.914,0.102
2018-06-14 12:00:01.127,0.354,0.947,0.119
2018-06-14 12:00:01.147,0.235,0.844,0.171
2018-06-14 12:00:01.167,0.195,0.836,0.125
2018-06-14 12:00:01.187,0.252,0.929,0.207
2018-06-14 12:00:01.207,0.216,0.937,0.296
2018-06-14 12:00:01.226,0.197,0.896,0.333
2018-06-14 12:00:01.247,0.212,0.929,0.370
2018-06-14 12:00:01.267,0.175,0.910,0.432
2018-06-14 12:00:01.287,0.134,0.887,0.487
2018-06-14 12:00:01.307,0.060,0.953,0.457
2018-06-14 12:00:01.327,0.084,0.920,0.488
2018-06-14 12:00:01.347,0.091,0.910,0.489
2018-06-14 12:00:01.367,0.043,0.898,0.603
2018-06-14 12:00:01.387,0.017,0.885,0.640
2018-06-14 12:00:01.407,0.105,0.849,0.610
2018-06-14 12:00:01.427,0.161,0.789,0.609
2018-06-14 12:00:01.447,0.214,0.766,0.622
2018-06-14 12:00:01.466,0.223,0.770,0.718
2018-06-14 12:00:01.487,0.119,0.733,0.856
2018-06-14 12:00:01.507,0.081,0.554,0.885
2018-06-14 12:00:01.527,0.103,0.444,0.861
2018-06-14 12:00:01.546,0.085,0.465,0.997
2018-06-14 12:00:01.567,-0.016,0.513,1.131
2018-06-14 12:00:01.587,-0.108,0.409,1.050
2018-06-14 12:00:01.607,-0.217,0.218,1.058
2018-06-14 12:00:01.627,-0.573,-0.004,1.036
2018-06-14 12:00:01.647,-0.388,0.113,1.156
2018-06-14 12:00:01.667,-0.153,0.234,1.082
2018-06-14 12:00:01.687,-0.015,0.213,1.090
2018-06-14 12:00:01.707,-0.082,0.068,0.934
2018-06-14 12:00:01.726,-0.165,0.146,1.092
2018-06-14 12:00:01.747,-0.220,0.128,1.087
2018-06-14 12:00:01.767,-0.231,0.194,0.954
2018-06-14 12:00:01.787,-0.238,0.114,1.004
2018-06-14 12:00:01.807,-0.160,0.077,1.023
2018-06-14 12:00:01.827,-0.087,0.133,0.778
2018-06-14 12:00:01.847,-0.217,0.023,1.018
2018-06-14 12:00:01.867,-0.240,-0.106,1.084
2018-06-14 12:00:01.887,-0.214,-0.015,0.964
2018-06-14 12:00:01.906,-0.221,-0.147,0.955
2018-06-14 12:00:01.927,-0.216,-0.201,0.988
2018-06-14 12:00:01.947,-0.427,-0.365,1.058
2018-06-14 12:00:01.969,-0.337,-0.077,0.785
2018-06-14 12:00:01.987,-0.526,-0.041,0.950
2018-06-14 12:00:02.007,-0.451,-0.190,1.027
2018-06-14 12:00:02.027,-0.474,-0.188,1.036
2018-06-14 12:00:02.047,-0.420,-0.195,0.988
2018-06-14 12:00:02.067,-0.499,-0.255,0.934
2018-06-14 12:00:02.087,-0.516,-0.189,0.791
2018-06-14 12:00:02.108,-0.588,-0.214,0.764
2018-06-14 12:00:02.127,-0.516,-0.307,0.879
2018-06-14 12:00:02.147,-0.469,-0.155,0.764
2018-06-14 12:00:02.167,-0.785,-0.043,0.529
2018-06-14 12:00:02.187,-0.724,-0.051,0.534
2018-06-14 12:00:02.207,-0.682,-0.128,0.573
2018-06-14 12:00:02.228,-0.703,-0.105,0.474
2018-06-14 12:00:02.247,-0.603,-0.096,0.505
2018-06-14 12:00:02.267,-0.590,-0.060,0.648
2018-06-14 12:00:02.287,-0.578,-0.046,0.685
2018-06-14 12:00:02.307,-0.547,-0.054,0.690
2018-06-14 12:00:02.327,-0.621,-0.049,0.743
2018-06-14 12:00:02.347,-0.616,-0.084,0.929
2018-06-14 12:00:02.367,-0.538,-0.095,0.929
2018-06-14 12:00:02.387,-0.512,0.018,0.831
2018-06-14 12:00:02.407,-0.609,0.024,0.891
2018-06-14 12:00:02.427,-0.609,-0.021,0.915
2018-06-14 12:00:02.447,-0.527,-0.064,0.965
2018-06-14 12:00:02.467,-0.511,0.001,0.935
2018-06-14 12:00:02.487,-0.579,0.025,0.910
2018-06-14 12:00:02.508,-0.661,0.035,0.990
2018-06-14 12:00:02.527,-0.723,-0.003,1.053
2018-06-14 12:00:02.547,-0.633,0.019,1.001
2018-06-14 12:00:02.567,-0.741,0.081,0.914
2018-06-14 12:00:02.587,-1.028,0.102,0.944
2018-06-14 12:00:02.607,-1.010,0.112,0.932
2018-06-14 12:00:02.627,-1.014,0.135,0.779
2018-06-14 12:00:02.647,-1.050,0.140,0.678
2018-06-14 12:00:02.667,-1.112,0.108,0.697
2018-06-14 12:00:02.687,-1.126,0.117,0.697
2018-06-14 12:00:02.708,-1.082,0.107,0.650
2018-06-14 12:00:02.727,-1.082,0.085,0.526
2018-06-14 12:00:02.747,-1.011,0.107,0.433
2018-06-14 12:00:02.767,-0.953,0.074,0.384
2018-06-14 12:00:02.787,-0.933,0.032,0.429
2018-06-14 12:00:02.807,-0.928,0.046,0.471
2018-06-14 12:00:02.827,-0.923,0.057,0.415
2018-06-14 12:00:02.847,-0.859,0.033,0.383
2018-06-14 12:00:02.867,-0.788,0.041,0.316
2018-06-14 12:00:02.887,-0.805,0.046,0.271
2018-06-14 12:00:02.907,-0.778,0.034,0.273
2018-06-14 12:00:02.927,-0.769,-0.011,0.308
2018-06-14 12:00:02.947,-0.672,0.025,0.285
2018-06-14 12:00:02.967,-0.702,0.048,0.204
2018-06-14 12:00:02.987,-0.729,0.032,0.184
2018-06-14 12:00:03.007,-0.753,0.028,0.204
2018-06-14 12:00:03.027,-0.736,0.029,0.272
2018-06-14 12:00:03.047,-0.765,0.056,0.321
2018-06-14 12:00:03.067,-0.722,0.081,0.322
2018-06-14 12:00:03.087,-0.805,0.080,0.251
