HEADER_TIME_STAMP,X,Y,Z
2018-06-14 13:00:00.007,-0.022,0.030,0.967
2018-06-14 13:00:00.027,-0.023,0.039,0.973
2018-06-14 13:00:00.047,-0.013,0.045,1.001
2018-06-14 13:00:00.067,-0.023,0.051,0.971
2018-06-14 13:00:00.086,-0.013,0.064,0.996
2018-06-14 13:00:00.107,-0.023,0.058,0.969
2018-06-14 13:00:00.127,-0.016,0.065,0.996
2018-06-14 13:00:00.147,-0.026,0.063,0.964
2018-06-14 13:00:00.166,-0.015,0.064,0.998
2018-06-14 13:00:00.187,-0.026,0.061,0.959
2018-06-14 13:00:00.208,-0.013,0.067,0.991
2018-06-14 13:00:00.227,-0.024,0.072,0.961
2018-06-14 13:00:00.247,-0.017,0.077,0.982
2018-06-14 13:00:00.267,-0.020,0.084,0.979
2018-06-14 13:00:00.287,-0.018,0.082,0.971
2018-06-14 13:00:00.308,-0.012,0.074,0.985
2018-06-14 13:00:00.326,-0.019,0.073,0.978
2018-06-14 13:00:00.346,-0.018,0.081,0.983
2018-06-14 13:00:00.367,-0.019,0.074,0.976
2018-06-14 13:00:00.387,-0.016,0.051,0.990
2018-06-14 13:00:00.407,-0.016,0.051,0.979
2018-06-14 13:00:00.427,-0.018,0.063,0.979
2018-06-14 13:00:00.447,-0.020,0.079,0.968
2018-06-14 13:00:00.467,-0.020,0.069,0.977
2018-06-14 13:00:00.487,-0.021,0.058,0.979
2018-06-14 13:00:00.506,-0.013,0.060,0.984
2018-06-14 13:00:00.527,-0.017,0.070,0.971
2018-06-14 13:00:00.547,-0.018,0.063,0.991
2018-06-14 13:00:00.567,-0.023,0.040,0.967
2018-06-14 13:00:00.587,-0.019,0.052,0.973
2018-06-14 13:00:00.607,-0.010,0.059,0.995
2018-06-14 13:00:00.626,-0.024,0.075,0.963
2018-06-14 13:00:00.647,-0.016,0.078,1.000
2018-06-14 13:00:00.667,-0.021,0.047,0.960
2018-06-14 13:00:00.687,-0.011,0.068,1.002
2018-06-14 13:00:00.707,-0.017,0.083,0.986
2018-06-14 13:00:00.727,-0.011,0.077,1.020
2018-06-14 13:00:00.747,-0.029,0.104,0.944
2018-06-14 13:00:00.766,-0.009,0.070,1.002
2018-06-14 13:00:00.787,-0.021,0.060,0.970
2018-06-14 13:00:00.807,-0.025,0.051,0.970
2018-06-14 13:00:00.826,-0.010,0.055,0.996
2018-06-14 13:00:00.847,-0.021,0.085,0.969
2018-06-14 13:00:00.867,-0.017,0.091,0.981
2018-06-14 13:00:00.887,-0.025,0.089,0.973
2018-06-14 13:00:00.907,-0.022,0.106,0.981
2018-06-14 13:00:00.927,-0.023,0.074,0.985
2018-06-14 13:00:00.947,-0.009,0.046,0.995
2018-06-14 13:00:00.967,-0.016,0.054,0.984
2018-06-14 13:00:00.987,-0.025,0.032,0.950
2018-06-14 13:00:01.007,-0.006,0.080,1.009
2018-06-14 13:00:01.027,-0.046,0.067,0.920
2018-06-14 13:00:01.047,0.010,-0.014,1.055
2018-06-14 13:00:01.066,-0.046,0.066,0.913
2018-06-14 13:00:01.087,-0.004,0.054,1.012
2018-06-14 13:00:01.108,-0.019,0.026,0.963
2018-06-14 13:00:01.127,-0.021,0.083,0.988
2018-06-14 13:00:01.147,-0.021,0.072,0.966
2018-06-14 13:00:01.168,-0.028,0.090,0.958
2018-06-14 13:00:01.187,-0.016,0.104,0.984
2018-06-14 13:00:01.206,-0.022,0.087,0.971
2018-06-14 13:00:01.226,-0.015,0.120,1.000
2018-06-14 13:00:01.247,-0.031,0.129,0.950
2018-06-14 13:00:01.267,-0.016,0.131,0.998
2018-06-14 13:00:01.287,-0.027,0.120,0.961
2018-06-14 13:00:01.308,-0.012,0.133,1.004
2018-06-14 13:00:01.327,-0.028,0.087,0.959
2018-06-14 13:00:01.347,-0.006,0.061,0.993
2018-06-14 13:00:01.367,-0.007,0.037,0.995
2018-06-14 13:00:01.387,-0.019,0.048,0.981
2018-06-14 13:00:01.406,-0.010,0.037,0.992
2018-06-14 13:00:01.427,-0.023,0.020,0.964
2018-06-14 13:00:01.447,-0.014,0.032,0.994
2018-06-14 13:00:01.467,-0.029,0.024,0.951
2018-06-14 13:00:01.487,-0.007,0.032,1.005
2018-06-14 13:00:01.507,-0.024,0.031,0.956
2018-06-14 13:00:01.526,-0.010,0.041,1.004
2018-06-14 13:00:01.547,-0.026,0.050,0.959
2018-06-14 13:00:01.567,-0.017,0.064,0.982
2018-06-14 13:00:01.588,-0.016,0.064,0.974
2018-06-14 13:00:01.608,-0.019,0.073,0.982
2018-06-14 13:00:01.626,-0.017,0.073,0.979
2018-06-14 13:00:01.646,-0.019,0.075,0.973
2018-06-14 13:00:01.667,-0.015,0.077,0.988
2018-06-14 13:00:01.687,-0.018,0.074,0.966
2018-06-14 13:00:01.708,-0.017,0.077,0.986
2018-06-14 13:00:01.726,-0.014,0.073,1.003
2018-06-14 13:00:01.747,-0.032,0.073,0.941
2018-06-14 13:00:01.767,-0.007,0.076,0.989
2018-06-14 13:00:01.787,-0.024,0.052,0.957
2018-06-14 13:00:01.806,-0.012,0.053,0.997
2018-06-14 13:00:01.826,-0.026,0.034,0.806
2018-06-14 13:00:01.847,0.003,0.072,1.038
2018-06-14 13:00:01.867,-0.029,0.065,0.981
2018-06-14 13:00:01.887,-0.017,0.077,0.993
2018-06-14 13:00:01.907,-0.004,0.072,0.994
2018-06-14 13:00:01.927,-0.026,0.074,0.953
2018-06-14 13:00:01.947,-0.001,0.082,1.030
2018-06-14 13:00:01.967,-0.036,0.066,0.925
2018-06-14 13:00:01.987,-0.005,0.069,1.045
2018-06-14 13:00:02.007,-0.027,0.049,0.932
2018-06-14 13:00:02.027,-0.018,0.047,0.996
2018-06-14 13:00:02.047,-0.020,0.044,0.973
2018-06-14 13:00:02.067,-0.025,0.048,0.975
2018-06-14 13:00:02.087,-0.008,0.068,0.992
2018-06-14 13:00:02.108,-0.016,0.080,0.972
2018-06-14 13:00:02.128,-0.021,0.078,0.986
2018-06-14 13:00:02.147,-0.022,0.063,0.974
2018-06-14 13:00:02.167,-0.019,0.052,0.982
2018-06-14 13:00:02.187,-0.017,0.059,0.982
2018-06-14 13:00:02.208,-0.021,0.074,0.969
2018-06-14 13:00:02.227,-0.016,0.094,0.993
2018-06-14 13:00:02.247,-0.021,0.085,0.975
2018-06-14 13:00:02.267,-0.016,0.065,0.985
2018-06-14 13:00:02.287,-0.019,0.054,0.982
2018-06-14 13:00:02.307,-0.023,0.050,0.973
2018-06-14 13:00:02.327,-0.016,0.046,0.988
2018-06-14 13:00:02.347,-0.022,0.043,0.976
2018-06-14 13:00:02.367,-0.022,0.044,0.979
2018-06-14 13:00:02.387,-0.022,0.040,0.976
2018-06-14 13:00:02.407,-0.020,0.033,0.977
2018-06-14 13:00:02.427,-0.018,0.032,0.990
2018-06-14 13:00:02.447,-0.042,0.025,1.006
2018-06-14 13:00:02.467,-0.039,0.052,1.022
2018-06-14 13:00:02.487,-0.027,0.066,0.986
2018-06-14 13:00:02.508,-0.019,0.061,0.993
2018-06-14 13:00:02.527,-0.026,0.072,0.975
2018-06-14 13:00:02.546,-0.019,0.071,0.981
2018-06-14 13:00:02.566,-0.021,0.069,0.976
2018-06-14 13:00:02.587,-0.021,0.072,0.988
2018-06-14 13:00:02.607,-0.022,0.081,0.978
2018-06-14 13:00:02.628,-0.021,0.085,0.989
2018-06-14 13:00:02.646,-0.021,0.083,0.977
2018-06-14 13:00:02.667,-0.019,0.073,0.985
2018-06-14 13:00:02.687,-0.018,0.063,0.975
2018-06-14 13:00:02.707,-0.019,0.060,0.976
2018-06-14 13:00:02.727,-0.019,0.066,0.981
2018-06-14 13:00:02.747,-0.017,0.073,0.977
2018-06-14 13:00:02.767,-0.019,0.079,0.984
2018-06-14 13:00:02.789,-0.018,0.076,0.977
2018-06-14 13:00:02.807,-0.020,0.071,0.984
2018-06-14 13:00:02.827,-0.018,0.058,0.986
2018-06-14 13:00:02.846,-0.023,0.051,0.972
2018-06-14 13:00:02.867,-0.025,0.048,0.966
2018-06-14 13:00:02.887,-0.020,0.053,0.983
2018-06-14 13:00:02.907,-0.016,0.055,0.975
2018-06-14 13:00:02.928,-0.019,0.056,0.977
2018-06-14 13:00:02.947,-0.020,0.056,0.972
2018-06-14 13:00:02.969,-0.018,0.066,0.981
2018-06-14 13:00:02.987,-0.019,0.061,0.965
2018-06-14 13:00:03.008,-0.019,0.072,0.983
2018-06-14 13:00:03.027,-0.018,0.082,0.986
2018-06-14 13:00:03.047,-0.021,0.081,0.969
2018-06-14 13:00:03.067,-0.010,0.078,0.998
2018-06-14 13:00:03.089,-0.027,0.070,0.957
2018-06-14 13:00:03.107,-0.026,0.066,0.986
2018-06-14 13:00:03.127,-0.018,0.061,0.957
2018-06-14 13:00:03.147,-0.018,0.095,1.037
2018-06-14 13:00:03.167,-0.027,0.058,0.953
2018-06-14 13:00:03.187,-0.015,0.048,0.996
2018-06-14 13:00:03.208,-0.014,0.048,0.989
2018-06-14 13:00:03.227,-0.014,0.074,0.983
2018-06-14 13:00:03.247,-0.021,0.073,0.977
2018-06-14 13:00:03.267,-0.022,0.074,0.965
2018-06-14 13:00:03.287,-0.015,0.080,0.984
2018-06-14 13:00:03.307,-0.015,0.079,0.989
2018-06-14 13:00:03.327,-0.016,0.073,0.984
2018-06-14 13:00:03.347,-0.016,0.057,0.974
2018-06-14 13:00:03.367,-0.014,0.053,0.977
2018-06-14 13:00:03.387,-0.013,0.055,0.973
2018-06-14 13:00:03.408,-0.010,0.062,0.982
2018-06-14 13:00:03.427,-0.017,0.060,0.957
2018-06-14 13:00:03.447,-0.006,0.059,1.005
2018-06-14 13:00:03.467,-0.018,0.050,0.957
2018-06-14 13:00:03.487,-0.005,0.050,0.990
2018-06-14 13:00:03.509,-0.018,0.061,0.971
2018-06-14 13:00:03.527,-0.005,0.071,0.991
2018-06-14 13:00:03.547,-0.026,0.056,0.938
2018-06-14 13:00:03.567,-0.010,0.077,0.974
2018-06-14 13:00:03.587,-0.015,0.098,0.991
2018-06-14 13:00:03.608,-0.020,0.073,0.958
2018-06-14 13:00:03.627,-0.001,0.059,1.014
2018-06-14 13:00:03.647,-0.023,0.049,0.938
2018-06-14 13:00:03.667,0.001,0.050,1.014
2018-06-14 13:00:03.687,-0.018,0.050,0.953
2018-06-14 13:00:03.707,-0.007,0.051,0.986
2018-06-14 13:00:03.727,-0.002,0.054,1.001
2018-06-14 13:00:03.746,-0.016,0.056,0.967
2018-06-14 13:00:03.767,-0.002,0.064,0.997
2018-06-14 13:00:03.787,-0.016,0.066,0.953
2018-06-14 13:00:03.807,0.004,0.069,1.000
2018-06-14 13:00:03.827,-0.006,0.075,0.974
2018-06-14 13:00:03.847,-0.007,0.076,0.980
2018-06-14 13:00:03.867,-0.007,0.079,0.977
2018-06-14 13:00:03.887,-0.003,0.076,0.979
2018-06-14 13:00:03.907,-0.006,0.070,0.981
2018-06-14 13:00:03.926,-0.011,0.089,0.973
2018-06-14 13:00:03.947,-0.005,0.109,0.986
2018-06-14 13:00:03.967,-0.007,0.106,0.979
2018-06-14 13:00:03.987,-0.008,0.071,0.975
2018-06-14 13:00:04.007,-0.005,0.041,0.984
2018-06-14 13:00:04.027,-0.003,0.033,0.961
2018-06-14 13:00:04.046,-0.002,0.045,0.978
2018-06-14 13:00:04.067,-0.010,0.053,0.959
2018-06-14 13:00:04.087,0.003,0.077,1.001
2018-06-14 13:00:04.107,-0.003,0.085,1.014
2018-06-14 13:00:04.126,-0.004,0.089,0.981
