HEADER_TIME_STAMP,X,Y,Z
2018-06-14 11:55:26.267,-0.139,0.020,1.018
2018-06-14 11:55:26.287,-0.143,0.032,1.016
2018-06-14 11:55:26.307,-0.142,0.025,1.009
2018-06-14 11:55:26.327,-0.139,0.021,1.009
2018-06-14 11:55:26.347,-0.143,0.032,0.971
2018-06-14 11:55:26.366,-0.145,0.037,0.970
2018-06-14 11:55:26.387,-0.143,0.028,0.967
2018-06-14 11:55:26.407,-0.140,0.032,0.966
2018-06-14 11:55:26.427,-0.145,0.034,0.954
2018-06-14 11:55:26.447,-0.140,0.034,0.955
2018-06-14 11:55:26.467,-0.143,0.029,0.960
2018-06-14 11:55:26.486,-0.142,0.035,0.965
2018-06-14 11:55:26.507,-0.142,0.031,0.968
2018-06-14 11:55:26.527,-0.141,0.025,0.975
2018-06-14 11:55:26.547,-0.142,0.029,0.974
2018-06-14 11:55:26.566,-0.142,0.032,0.972
2018-06-14 11:55:26.587,-0.142,0.031,0.970
2018-06-14 11:55:26.607,-0.142,0.030,0.972
2018-06-14 11:55:26.627,-0.142,0.031,0.973
2018-06-14 11:55:26.647,-0.143,0.034,0.962
2018-06-14 11:55:26.667,-0.144,0.030,0.962
2018-06-14 11:55:26.686,-0.141,0.030,0.962
2018-06-14 11:55:26.707,-0.143,0.034,0.972
2018-06-14 11:55:26.727,-0.137,0.029,0.972
2018-06-14 11:55:26.747,-0.143,0.031,0.970
2018-06-14 11:55:26.767,-0.141,0.033,0.974
2018-06-14 11:55:26.786,-0.144,0.028,0.964
2018-06-14 11:55:26.807,-0.142,0.030,0.974
2018-06-14 11:55:26.827,-0.142,0.031,0.973
2018-06-14 11:55:26.847,-0.143,0.031,0.971
2018-06-14 11:55:26.867,-0.142,0.029,0.973
2018-06-14 11:55:26.887,-0.143,0.030,0.964
2018-06-14 11:55:26.907,-0.141,0.032,0.966
2018-06-14 11:55:26.927,-0.142,0.035,0.972
2018-06-14 11:55:26.947,-0.140,0.033,0.970
2018-06-14 11:55:26.967,-0.144,0.029,0.968
2018-06-14 11:55:26.987,-0.143,0.031,0.966
2018-06-14 11:55:27.007,-0.140,0.030,0.962
2018-06-14 11:55:27.026,-0.142,0.033,0.962
2018-06-14 11:55:27.047,-0.146,0.030,0.973
2018-06-14 11:55:27.067,-0.142,0.030,0.972
2018-06-14 11:55:27.087,-0.142,0.029,0.967
2018-06-14 11:55:27.107,-0.141,0.031,0.969
2018-06-14 11:55:27.127,-0.141,0.031,0.968
2018-06-14 11:55:27.147,-0.141,0.032,0.961
2018-06-14 11:55:27.167,-0.140,0.032,0.973
2018-06-14 11:55:27.187,-0.144,0.034,0.972
2018-06-14 11:55:27.206,-0.142,0.032,0.970
2018-06-14 11:55:27.227,-0.141,0.031,0.967
2018-06-14 11:55:27.247,-0.142,0.033,0.966
2018-06-14 11:55:27.267,-0.142,0.034,0.972
2018-06-14 11:55:27.287,-0.141,0.032,0.976
2018-06-14 11:55:27.307,-0.141,0.032,0.974
2018-06-14 11:55:27.327,-0.145,0.031,0.964
2018-06-14 11:55:27.347,-0.143,0.032,0.967
2018-06-14 11:55:27.367,-0.142,0.030,0.969
2018-06-14 11:55:27.387,-0.140,0.030,0.977
2018-06-14 11:55:27.407,-0.145,0.031,0.972
2018-06-14 11:55:27.427,-0.143,0.030,0.974
2018-06-14 11:55:27.447,-0.143,0.031,0.961
2018-06-14 11:55:27.467,-0.143,0.029,0.967
2018-06-14 11:55:27.487,-0.144,0.030,0.971
2018-06-14 11:55:27.507,-0.143,0.032,0.969
2018-06-14 11:55:27.527,-0.143,0.032,0.970
2018-06-14 11:55:27.547,-0.142,0.030,0.964
2018-06-14 11:55:27.567,-0.140,0.033,0.964
2018-06-14 11:55:27.587,-0.141,0.035,0.964
2018-06-14 11:55:27.607,-0.143,0.034,0.968
2018-06-14 11:55:27.629,-0.145,0.033,0.972
2018-06-14 11:55:27.647,-0.139,0.032,0.968
2018-06-14 11:55:27.667,-0.142,0.030,0.965
2018-06-14 11:55:27.687,-0.139,0.033,0.965
2018-06-14 11:55:27.707,-0.139,0.031,0.974
2018-06-14 11:55:27.727,-0.141,0.030,0.973
2018-06-14 11:55:27.747,-0.142,0.031,0.971
2018-06-14 11:55:27.767,-0.140,0.031,0.965
2018-06-14 11:55:27.787,-0.141,0.032,0.964
2018-06-14 11:55:27.807,-0.142,0.032,0.972
2018-06-14 11:55:27.827,-0.144,0.029,0.968
2018-06-14 11:55:27.847,-0.141,0.031,0.976
2018-06-14 11:55:27.867,-0.141,0.035,0.975
2018-06-14 11:55:27.887,-0.142,0.031,0.965
2018-06-14 11:55:27.907,-0.140,0.029,0.970
2018-06-14 11:55:27.926,-0.144,0.032,0.967
2018-06-14 11:55:27.947,-0.145,0.031,0.975
2018-06-14 11:55:27.967,-0.139,0.029,0.973
